segment,field_name,length,offset
Questionnaire,  Architect design/Stock plan,1,564
Questionnaire,  Typical or Atypical design,1,566
Questionnaire,"  Construction quality [1: Deluxe, 2: Average, 3: Poor]",1,568
Questionnaire,   Construction renovated,1,570
Questionnaire,  Site desirability,1,572
Questionnaire,  Garage size - 1,1,574
Questionnaire,  Garage construction - 1,1,576
Questionnaire,  Garage attached - 1,1,578
Questionnaire,  Garage in area - 1,1,580
Questionnaire,  Garage size - 2,1,582
Questionnaire,  Garage construction – 2,1,584
Questionnaire,  Garage attached - 2,1,586
Questionnaire,  Garage in area - 2,1,588
Questionnaire,  Porch,1,590
Questionnaire,  Other improvements,7,592
Questionnaire,  Other improvements sign,1,600
Questionnaire,  Building sq. footage,7,602
Questionnaire,  Building sq. footage sign,1,610
Questionnaire,  State of repair,1,612
Questionnaire,  Special condition,1,614
Questionnaire,  Filler,11,616
